citizenId,scheme
C00689,Annadata Sukhibhava
C00863,Thalli Bidda
C02782,Unemployment Allowance
C04718,Unemployment Allowance
C02401,Free Gas Cylinders
C03917,Unemployment Allowance
C01366,Annadata Sukhibhava
C04541,Dokka Seethamma
C02452,Deepam 2.0
C02460,Dr NTR Vaidya Seva
C01947,Dokka Seethamma
C00899,Free Gas Cylinders
C00612,Deepam 2.0
C00912,Annadata Sukhibhava
C03342,Unemployment Allowance
C04024,Deepam 2.0
C02062,Dr NTR Vaidya Seva
C02362,Deepam 2.0
C04806,Dokka Seethamma
C03623,Deepam 2.0
C02075,Thalli Bidda
C01674,Free Gas Cylinders
C01757,Dokka Seethamma
C04062,Free Gas Cylinders
C04669,Annadata Sukhibhava
C02951,Free Bus Travel for Women
C00018,Talliki Vandanam
C03807,Free Gas Cylinders
C00977,Unemployment Allowance
C03020,Annadata Sukhibhava
C04334,Free Bus Travel for Women
C02278,Thalli Bidda
C04660,Deepam 2.0
C01922,Talliki Vandanam
C02783,Thalli Bidda
C04569,Deepam 2.0
C02131,Free Gas Cylinders
C01611,Annadata Sukhibhava
C00211,Dokka Seethamma
C00752,Deepam 2.0
C02057,Dr NTR Vaidya Seva
C02457,Free Bus Travel for Women
C03920,Dokka Seethamma
C03146,Deepam 2.0
C02528,Free Bus Travel for Women
C00389,Annadata Sukhibhava
C02201,Dr NTR Vaidya Seva
C00109,Dr NTR Vaidya Seva
C03447,Dr NTR Vaidya Seva
C00936,Talliki Vandanam
C03094,Dr NTR Vaidya Seva
C01986,Thalli Bidda
C02536,Annadata Sukhibhava
C01205,Annadata Sukhibhava
C04251,Thalli Bidda
C04897,Talliki Vandanam
C03161,Free Gas Cylinders
C00074,Dr NTR Vaidya Seva
C00636,Unemployment Allowance
C03587,Annadata Sukhibhava
C02868,Talliki Vandanam
C00839,Annadata Sukhibhava
C01350,Free Gas Cylinders
C00019,Deepam 2.0
C01565,Annadata Sukhibhava
C03403,Talliki Vandanam
C00014,Unemployment Allowance
C00432,Deepam 2.0
C03938,Deepam 2.0
C04571,Dokka Seethamma
C03405,Dokka Seethamma
C01859,Deepam 2.0
C00925,Deepam 2.0
C00493,Dokka Seethamma
C03204,Annadata Sukhibhava
C02165,Dokka Seethamma
C02420,Deepam 2.0
C03047,Talliki Vandanam
C03786,Dr NTR Vaidya Seva
C03119,Thalli Bidda
C04140,Unemployment Allowance
C01343,Talliki Vandanam
C00506,Annadata Sukhibhava
C02343,Annadata Sukhibhava
C02280,Unemployment Allowance
C01118,Unemployment Allowance
C03214,Talliki Vandanam
C03897,Free Bus Travel for Women
C04001,Deepam 2.0
C02021,Dokka Seethamma
C03467,Annadata Sukhibhava
C02900,Free Gas Cylinders
C01390,Dokka Seethamma
C02639,Unemployment Allowance
C03744,Free Gas Cylinders
C03855,Dr NTR Vaidya Seva
C01748,Thalli Bidda
C04988,Dokka Seethamma
C01397,Free Bus Travel for Women
C00236,Free Gas Cylinders
C02576,Thalli Bidda
C03915,Thalli Bidda
C04922,Dokka Seethamma
C01712,Dr NTR Vaidya Seva
C03634,Dr NTR Vaidya Seva
C00130,Thalli Bidda
C02555,Annadata Sukhibhava
C00331,Free Gas Cylinders
C04806,Free Bus Travel for Women
C04959,Unemployment Allowance
C04387,Annadata Sukhibhava
C02593,Talliki Vandanam
C02300,Free Bus Travel for Women
C04668,Talliki Vandanam
C01937,Free Gas Cylinders
